system	role	builder	engine	force_field	replicates	simulation_duration	intended_per_replicate_ns	total_sampling_ns	production_segment_ns_from_mdin	solvated_atom_count_step5_pdb	topology_atom_count_input_parm7	total_residues_step5_pdb	protein_residues_step5_pdb	water_molecules_WAT	lipid_resname_in_pdb	lipid_molecules	sodium_ions_SOD	chloride_ions_CLA	box_a_A	box_b_A	box_c_A	alpha_deg	beta_deg	gamma_deg	temperature_K	pressure_bar	timestep_ps	nonbonded_cutoff_A	trajectory_write_interval_steps	production_mdin	topology_file	coordinate_file	composition_source_pdb	notes
apo	basal reference	CHARMM-GUI	Amber pmemd.cuda	CHARMM36 ALL-ATOM FORCE FIELD	3	2 us x 3 replicas = 6 us	2000	6000	500.000	94336	94336	21501	289	20882	POP	200	56	70	89.2169935	89.2169935	127.6736200	90.0000000	90.0000000	90.0000000	303.15	1.0	0.002	12.0	50000	gpcr/apo/7_production.mdin	gpcr/apo/input.parm7	gpcr/apo/input.rst7	gpcr/apo/step5_input.pdb	No ligand. Composition from step5_input.pdb; box from input.rst7.
BM213	BM213-bound active-like state	CHARMM-GUI	Amber pmemd.cuda	CHARMM36 ALL-ATOM FORCE FIELD	3	2 us x 3 replicas = 6 us	2000	6000	500.000	91098	91098	20430	285	19820	POP	200	53	68	89.4881987	89.4881987	122.6709700	90.0000000	90.0000000	90.0000000	303.15	1.0	0.002	12.0	50000	gpcr/bm213/7_production.mdin	gpcr/bm213/input.parm7	gpcr/bm213/input.rst7	gpcr/bm213/step5_input.pdb	BM213-like segment is encoded as protein residues 282-289 in dry analysis structures. Composition from step5_input.pdb; box from input.rst7.
C5apep	C5a-peptide-bound state	CHARMM-GUI	Amber pmemd.cuda	CHARMM36 ALL-ATOM FORCE FIELD	3	2 us x 3 replicas = 6 us	2000	6000	500.000	92456	92456	20868	279	20260	POP	200	54	70	89.4655317	89.4655317	124.4971440	90.0000000	90.0000000	90.0000000	303.15	1.0	0.002	12.0	50000	gpcr/c5apep/7_production.mdin	gpcr/c5apep/input.parm7	gpcr/c5apep/input.rst7	gpcr/c5apep/step5_input.pdb	C5apep ligand is encoded as LIG residue 284 in dry analysis structures. Composition from step5_input.pdb; box from input.rst7.
