system	replicate	structure	trajectory	topology	intended_ns	source_frames	source_dt_ps	receptor_selection	ligand_selection	notes
BM213	rep1	gpcr/bm213/md-initial.pdb	gpcr/bm213/2wframe.xtc	gpcr/bm213/input.parm7	2000	20000	100	protein and not resid 282-289	resid 282-289	BM213 ligand-like peptide segment is encoded as protein residues 282-289.
BM213	rep2	gpcr/bm213/second/md-initial.pdb	gpcr/bm213/second/2wframe.xtc	gpcr/bm213/input.parm7	2000	20000	100	protein and not resid 282-289	resid 282-289	BM213 ligand-like peptide segment is encoded as protein residues 282-289.
BM213	rep3	gpcr/bm213/third/md-initial.pdb	gpcr/bm213/third/2wframe.xtc	gpcr/bm213/input.parm7	2000	20000	100	protein and not resid 282-289	resid 282-289	BM213 ligand-like peptide segment is encoded as protein residues 282-289.
c5apep	rep1	gpcr/c5apep/md-initial.pdb	gpcr/c5apep/2wframe.xtc	gpcr/c5apep/input.parm7	2000	20000	100	protein	resid 284 and resname LIG	C5apep ligand is encoded as LIG residue 284.
c5apep	rep2	gpcr/c5apep/second/md-initial.pdb	gpcr/c5apep/second/2wframe2.xtc	gpcr/c5apep/input.parm7	2000	20000	100	protein	resid 284 and resname LIG	C5apep rep2 uses the 2 us 2wframe2.xtc dry trajectory.
c5apep	rep3	gpcr/c5apep/third/md-initial.pdb	gpcr/c5apep/third/2wframe3.xtc	gpcr/c5apep/input.parm7	2000	20000	100	protein	resid 284 and resname LIG	C5apep rep3 uses the 2 us 2wframe3.xtc dry trajectory, not 3us.xtc.
